cell_id,row,col,centroid_x,centroid_y,geometry
1474,48,28,412227.3738420745,3390481.7927185036,"POLYGON ((412477.3738420745 3390231.7927185036, 412477.3738420745 3390731.7927185036, 411977.3738420745 3390731.7927185036, 411977.3738420745 3390231.7927185036, 412477.3738420745 3390231.7927185036))"
1475,49,28,412227.3738420745,3390981.7927185036,"POLYGON ((412477.3738420745 3390731.7927185036, 412477.3738420745 3391231.7927185036, 411977.3738420745 3391231.7927185036, 411977.3738420745 3390731.7927185036, 412477.3738420745 3390731.7927185036))"
1476,50,28,412227.3738420745,3391481.7927185036,"POLYGON ((412477.3738420745 3391231.7927185036, 412477.3738420745 3391731.7927185036, 411977.3738420745 3391731.7927185036, 411977.3738420745 3391231.7927185036, 412477.3738420745 3391231.7927185036))"
1477,51,28,412227.3738420745,3391981.7927185036,"POLYGON ((412477.3738420745 3391731.7927185036, 412477.3738420745 3392231.7927185036, 411977.3738420745 3392231.7927185036, 411977.3738420745 3391731.7927185036, 412477.3738420745 3391731.7927185036))"
1478,52,28,412227.3738420745,3392481.7927185036,"POLYGON ((412477.3738420745 3392231.7927185036, 412477.3738420745 3392731.7927185036, 411977.3738420745 3392731.7927185036, 411977.3738420745 3392231.7927185036, 412477.3738420745 3392231.7927185036))"
1479,53,28,412227.3738420745,3392981.7927185036,"POLYGON ((412477.3738420745 3392731.7927185036, 412477.3738420745 3393231.7927185036, 411977.3738420745 3393231.7927185036, 411977.3738420745 3392731.7927185036, 412477.3738420745 3392731.7927185036))"
1480,54,28,412227.3738420745,3393481.7927185036,"POLYGON ((412477.3738420745 3393231.7927185036, 412477.3738420745 3393731.7927185036, 411977.3738420745 3393731.7927185036, 411977.3738420745 3393231.7927185036, 412477.3738420745 3393231.7927185036))"
1481,55,28,412227.3738420745,3393981.7927185036,"POLYGON ((412477.3738420745 3393731.7927185036, 412477.3738420745 3394231.7927185036, 411977.3738420745 3394231.7927185036, 411977.3738420745 3393731.7927185036, 412477.3738420745 3393731.7927185036))"
1482,56,28,412227.3738420745,3394481.7927185036,"POLYGON ((412477.3738420745 3394231.7927185036, 412477.3738420745 3394731.7927185036, 411977.3738420745 3394731.7927185036, 411977.3738420745 3394231.7927185036, 412477.3738420745 3394231.7927185036))"
1483,57,28,412227.3738420745,3394981.7927185036,"POLYGON ((412477.3738420745 3394731.7927185036, 412477.3738420745 3395231.7927185036, 411977.3738420745 3395231.7927185036, 411977.3738420745 3394731.7927185036, 412477.3738420745 3394731.7927185036))"
1484,58,28,412227.3738420745,3395481.7927185036,"POLYGON ((412477.3738420745 3395231.7927185036, 412477.3738420745 3395731.7927185036, 411977.3738420745 3395731.7927185036, 411977.3738420745 3395231.7927185036, 412477.3738420745 3395231.7927185036))"
1485,59,28,412227.3738420745,3395981.7927185036,"POLYGON ((412477.3738420745 3395731.7927185036, 412477.3738420745 3396231.7927185036, 411977.3738420745 3396231.7927185036, 411977.3738420745 3395731.7927185036, 412477.3738420745 3395731.7927185036))"
1486,60,28,412227.3738420745,3396481.7927185036,"POLYGON ((412477.3738420745 3396231.7927185036, 412477.3738420745 3396731.7927185036, 411977.3738420745 3396731.7927185036, 411977.3738420745 3396231.7927185036, 412477.3738420745 3396231.7927185036))"
1487,61,28,412227.3738420745,3396981.7927185036,"POLYGON ((412477.3738420745 3396731.7927185036, 412477.3738420745 3397231.7927185036, 411977.3738420745 3397231.7927185036, 411977.3738420745 3396731.7927185036, 412477.3738420745 3396731.7927185036))"
1488,62,28,412227.3738420745,3397481.7927185036,"POLYGON ((412477.3738420745 3397231.7927185036, 412477.3738420745 3397731.7927185036, 411977.3738420745 3397731.7927185036, 411977.3738420745 3397231.7927185036, 412477.3738420745 3397231.7927185036))"
1489,63,28,412227.3738420745,3397981.7927185036,"POLYGON ((412477.3738420745 3397731.7927185036, 412477.3738420745 3398231.7927185036, 411977.3738420745 3398231.7927185036, 411977.3738420745 3397731.7927185036, 412477.3738420745 3397731.7927185036))"
1490,64,28,412227.3738420745,3398481.7927185036,"POLYGON ((412477.3738420745 3398231.7927185036, 412477.3738420745 3398731.7927185036, 411977.3738420745 3398731.7927185036, 411977.3738420745 3398231.7927185036, 412477.3738420745 3398231.7927185036))"
1491,65,28,412227.3738420745,3398981.7927185036,"POLYGON ((412477.3738420745 3398731.7927185036, 412477.3738420745 3399231.7927185036, 411977.3738420745 3399231.7927185036, 411977.3738420745 3398731.7927185036, 412477.3738420745 3398731.7927185036))"
1492,66,28,412227.3738420745,3399481.7927185036,"POLYGON ((412477.3738420745 3399231.7927185036, 412477.3738420745 3399731.7927185036, 411977.3738420745 3399731.7927185036, 411977.3738420745 3399231.7927185036, 412477.3738420745 3399231.7927185036))"
1493,67,28,412227.3738420745,3399981.7927185036,"POLYGON ((412477.3738420745 3399731.7927185036, 412477.3738420745 3400231.7927185036, 411977.3738420745 3400231.7927185036, 411977.3738420745 3399731.7927185036, 412477.3738420745 3399731.7927185036))"
1494,68,28,412227.3738420745,3400481.7927185036,"POLYGON ((412477.3738420745 3400231.7927185036, 412477.3738420745 3400731.7927185036, 411977.3738420745 3400731.7927185036, 411977.3738420745 3400231.7927185036, 412477.3738420745 3400231.7927185036))"
1495,69,28,412227.3738420745,3400981.7927185036,"POLYGON ((412477.3738420745 3400731.7927185036, 412477.3738420745 3401231.7927185036, 411977.3738420745 3401231.7927185036, 411977.3738420745 3400731.7927185036, 412477.3738420745 3400731.7927185036))"
1496,70,28,412227.3738420745,3401481.7927185036,"POLYGON ((412477.3738420745 3401231.7927185036, 412477.3738420745 3401731.7927185036, 411977.3738420745 3401731.7927185036, 411977.3738420745 3401231.7927185036, 412477.3738420745 3401231.7927185036))"
1497,71,28,412227.3738420745,3401981.7927185036,"POLYGON ((412477.3738420745 3401731.7927185036, 412477.3738420745 3402231.7927185036, 411977.3738420745 3402231.7927185036, 411977.3738420745 3401731.7927185036, 412477.3738420745 3401731.7927185036))"
1498,72,28,412227.3738420745,3402481.7927185036,"POLYGON ((412477.3738420745 3402231.7927185036, 412477.3738420745 3402731.7927185036, 411977.3738420745 3402731.7927185036, 411977.3738420745 3402231.7927185036, 412477.3738420745 3402231.7927185036))"
1499,0,29,412727.3738420745,3366481.7927185036,"POLYGON ((412977.3738420745 3366231.7927185036, 412977.3738420745 3366731.7927185036, 412477.3738420745 3366731.7927185036, 412477.3738420745 3366231.7927185036, 412977.3738420745 3366231.7927185036))"
1500,1,29,412727.3738420745,3366981.7927185036,"POLYGON ((412977.3738420745 3366731.7927185036, 412977.3738420745 3367231.7927185036, 412477.3738420745 3367231.7927185036, 412477.3738420745 3366731.7927185036, 412977.3738420745 3366731.7927185036))"
1501,2,29,412727.3738420745,3367481.7927185036,"POLYGON ((412977.3738420745 3367231.7927185036, 412977.3738420745 3367731.7927185036, 412477.3738420745 3367731.7927185036, 412477.3738420745 3367231.7927185036, 412977.3738420745 3367231.7927185036))"
1502,3,29,412727.3738420745,3367981.7927185036,"POLYGON ((412977.3738420745 3367731.7927185036, 412977.3738420745 3368231.7927185036, 412477.3738420745 3368231.7927185036, 412477.3738420745 3367731.7927185036, 412977.3738420745 3367731.7927185036))"
1503,4,29,412727.3738420745,3368481.7927185036,"POLYGON ((412977.3738420745 3368231.7927185036, 412977.3738420745 3368731.7927185036, 412477.3738420745 3368731.7927185036, 412477.3738420745 3368231.7927185036, 412977.3738420745 3368231.7927185036))"
1504,5,29,412727.3738420745,3368981.7927185036,"POLYGON ((412977.3738420745 3368731.7927185036, 412977.3738420745 3369231.7927185036, 412477.3738420745 3369231.7927185036, 412477.3738420745 3368731.7927185036, 412977.3738420745 3368731.7927185036))"
1505,6,29,412727.3738420745,3369481.7927185036,"POLYGON ((412977.3738420745 3369231.7927185036, 412977.3738420745 3369731.7927185036, 412477.3738420745 3369731.7927185036, 412477.3738420745 3369231.7927185036, 412977.3738420745 3369231.7927185036))"
1506,7,29,412727.3738420745,3369981.7927185036,"POLYGON ((412977.3738420745 3369731.7927185036, 412977.3738420745 3370231.7927185036, 412477.3738420745 3370231.7927185036, 412477.3738420745 3369731.7927185036, 412977.3738420745 3369731.7927185036))"
1507,8,29,412727.3738420745,3370481.7927185036,"POLYGON ((412977.3738420745 3370231.7927185036, 412977.3738420745 3370731.7927185036, 412477.3738420745 3370731.7927185036, 412477.3738420745 3370231.7927185036, 412977.3738420745 3370231.7927185036))"
1508,9,29,412727.3738420745,3370981.7927185036,"POLYGON ((412977.3738420745 3370731.7927185036, 412977.3738420745 3371231.7927185036, 412477.3738420745 3371231.7927185036, 412477.3738420745 3370731.7927185036, 412977.3738420745 3370731.7927185036))"
1509,10,29,412727.3738420745,3371481.7927185036,"POLYGON ((412977.3738420745 3371231.7927185036, 412977.3738420745 3371731.7927185036, 412477.3738420745 3371731.7927185036, 412477.3738420745 3371231.7927185036, 412977.3738420745 3371231.7927185036))"
1510,11,29,412727.3738420745,3371981.7927185036,"POLYGON ((412977.3738420745 3371731.7927185036, 412977.3738420745 3372231.7927185036, 412477.3738420745 3372231.7927185036, 412477.3738420745 3371731.7927185036, 412977.3738420745 3371731.7927185036))"
1511,12,29,412727.3738420745,3372481.7927185036,"POLYGON ((412977.3738420745 3372231.7927185036, 412977.3738420745 3372731.7927185036, 412477.3738420745 3372731.7927185036, 412477.3738420745 3372231.7927185036, 412977.3738420745 3372231.7927185036))"
1512,13,29,412727.3738420745,3372981.7927185036,"POLYGON ((412977.3738420745 3372731.7927185036, 412977.3738420745 3373231.7927185036, 412477.3738420745 3373231.7927185036, 412477.3738420745 3372731.7927185036, 412977.3738420745 3372731.7927185036))"
1513,14,29,412727.3738420745,3373481.7927185036,"POLYGON ((412977.3738420745 3373231.7927185036, 412977.3738420745 3373731.7927185036, 412477.3738420745 3373731.7927185036, 412477.3738420745 3373231.7927185036, 412977.3738420745 3373231.7927185036))"
