cand_id,facility_type,x,y,height_m,roof_usable_m2,parcel_area_m2,height_source,osm_id,building_type,n_fato,capacity,cost,quality,cell_id
67,ground,405727.3738420745,3378481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,518.0
68,ground,406227.3738420745,3373981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,576.0
69,ground,406227.3738420745,3373481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,575.0
70,ground,406227.3738420745,3372981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,574.0
71,ground,406227.3738420745,3371981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,572.0
72,ground,406227.3738420745,3371481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,571.0
73,ground,406227.3738420745,3370981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,570.0
74,ground,406227.3738420745,3370481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,569.0
75,ground,405727.3738420745,3400981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,563.0
76,ground,405727.3738420745,3399981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,561.0
77,ground,405727.3738420745,3399481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,560.0
78,ground,405727.3738420745,3398481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,558.0
79,ground,405727.3738420745,3397981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,557.0
80,ground,405727.3738420745,3380481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,522.0
81,ground,405727.3738420745,3379981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,521.0
82,ground,405227.3738420745,3379981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,457.0
83,ground,404727.3738420745,3374981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,386.0
84,ground,411727.3738420745,3368981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1357.0
85,ground,404727.3738420745,3397981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,432.0
86,ground,404727.3738420745,3395981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,428.0
87,ground,404727.3738420745,3391481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,419.0
88,ground,404727.3738420745,3380481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,397.0
89,ground,404727.3738420745,3379981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,396.0
90,ground,404727.3738420745,3379481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,395.0
91,ground,404727.3738420745,3378981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,394.0
92,ground,411727.3738420745,3371981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1363.0
93,ground,404727.3738420745,3377481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,391.0
94,ground,404727.3738420745,3376981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,390.0
