label,n_sites,n_rooftop,n_ground,total_cost_cny,mean_cost_per_site_cny,demand_covered,demand_coverage_pct,population_covered,population_coverage_pct,mean_access_time_min,median_access_time_min,p95_access_time_min,max_access_time_min,pct_within_10min,pct_within_15min,n_groups,n_groups_unserved,groups_all_served,worst_group_access_time_min,best_group_access_time_min,group_gap_min,worst_group_access_time_served_min,group_gap_served_min,equity_gini,group_0_access_time_min,group_1_access_time_min,group_2_access_time_min,group_3_access_time_min,group_4_access_time_min,income_quintile_gap_min,income_quintile_gini
Baseline:max_coverage_p10,10,4,6,515382806.4983658,51538280.649836585,49613.035722985835,98.55801586455509,7588580.403014081,98.39628457076694,10.231974601745605,10.502593994140625,14.32077693939209,15.0,45.44104422256714,98.39628457076694,5,0,True,10.286862355593096,9.633736580679988,0.6531257749131072,10.286862355593096,0.6531257749131072,0.013026876423437785,10.023254288949905,10.286862355593096,9.786753719596058,10.103457673418323,9.633736580679988,0.5961246490478516,0.012199130153609829
Baseline:p_center_p20,11,4,7,614874453.4821883,55897677.58928985,48754.15949331959,96.85182845159828,7443401.807894718,96.51384627528874,9.675922393798828,9.79769515991211,14.06345272064209,15.0,57.602885537056835,96.51384627528874,5,0,True,9.814331298114817,8.836364721980798,0.977966576134019,9.814331298114817,0.977966576134019,0.022134165749019694,9.341571108351719,8.967900733305708,9.814331298114817,9.587713906868789,8.836364721980798,1.7105445861816406,0.032105151605805196
Baseline:p_center_p30,11,4,7,614874453.4821883,55897677.58928985,48754.15949331959,96.85182845159828,7443401.807894718,96.51384627528874,9.675922393798828,9.79769515991211,14.06345272064209,15.0,57.602885537056835,96.51384627528874,5,0,True,9.814331298114817,8.836364721980798,0.977966576134019,9.814331298114817,0.977966576134019,0.022134165749019694,9.341571108351719,8.967900733305708,9.814331298114817,9.587713906868789,8.836364721980798,1.7105445861816406,0.032105151605805196
Baseline:p_center_p11,11,4,7,614874453.4821883,55897677.58928985,48754.15949331959,96.85182845159828,7443401.807894718,96.51384627528874,9.675922393798828,9.79769515991211,14.06345272064209,15.0,57.602885537056835,96.51384627528874,5,0,True,9.814331298114817,8.836364721980798,0.977966576134019,9.814331298114817,0.977966576134019,0.022134165749019694,9.341571108351719,8.967900733305708,9.814331298114817,9.587713906868789,8.836364721980798,1.7105445861816406,0.032105151605805196
Baseline:set_covering,10,4,6,501471502.3700038,50147150.23700038,48751.312711827035,96.84617322144723,7443939.650630264,96.52082013918034,9.91495418548584,10.095575332641602,14.06345272064209,15.0,50.79428489948293,96.52082013918034,5,0,True,10.304790494119574,9.493141091906175,0.8116494022133995,10.304790494119574,0.8116494022133995,0.015965938122375324,9.503175678788134,9.788768346803236,10.304790494119574,9.832610332815296,9.493141091906175,0.9273576736450195,0.01844311934319824
IP:coverage_priority,10,3,7,544668670.7712152,54466867.07712152,48682.055532276834,96.70859143268197,7439711.095640136,96.465991162213,10.118091583251953,10.299315452575684,14.06345272064209,15.0,46.50894892557324,96.465991162213,5,0,True,10.09586340662472,9.540054804912625,0.5558086017120942,10.09586340662472,0.5558086017120942,0.01225062590611068,10.09586340662472,9.659031723791376,9.540054804912625,9.91679639080404,10.056326338696953,0.49547863006591797,0.009128087677055245
Baseline:p_center_p10,10,5,5,419296329.7330142,41929632.973301426,48533.610530396596,96.41370028891049,7407280.047686277,96.04547843731274,9.886241912841797,10.03023910522461,14.06345272064209,15.0,50.919569707515016,96.04547843731274,5,0,True,10.03470618499582,9.27897772793076,0.7557284570650591,10.03470618499582,0.7557284570650591,0.013757679047511134,9.693877730634924,9.547403906413805,9.648826168836985,10.03470618499582,9.27897772793076,1.2004632949829102,0.027837993475250816
NSGA-II:best_total_cost,11,10,1,314333127.3849533,28575738.853177574,48389.77384281602,96.12796372129499,7388609.998423386,95.80339581017317,9.8214750289917,9.962787628173828,14.197094058990478,15.0,53.75373067202113,95.80339581017317,5,0,True,9.833996882515416,9.081605927979881,0.7523909545355352,9.833996882515416,0.7523909545355352,0.015990569224703304,9.290567012215844,9.081605927979881,9.683869130207743,9.833996882515416,9.590047600364828,1.6263847351074219,0.030854488972169553
IP:cost_priority,11,10,1,314333127.3849533,28575738.853177574,48389.77384281602,96.12796372129499,7388609.998423386,95.80339581017317,9.8214750289917,9.962787628173828,14.197094058990478,15.0,53.75373067202113,95.80339581017317,5,0,True,9.833996882515416,9.081605927979881,0.7523909545355352,9.833996882515416,0.7523909545355352,0.015990569224703304,9.290567012215844,9.081605927979881,9.683869130207743,9.833996882515416,9.590047600364828,1.6263847351074219,0.030854488972169553
Baseline:p_median_p11,11,4,7,623089757.1468724,56644523.3769884,47502.11583718434,94.36460031233482,7235328.167924205,93.81588802711865,9.612861633300781,9.462198257446289,14.27411708831787,15.0,63.96209932736129,93.81588802711865,5,0,True,10.45612162522149,7.751728096715329,2.704393528506161,10.45612162522149,2.704393528506161,0.06238444753210874,9.255422253078088,7.894492797337621,7.751728096715329,10.45612162522149,8.048672444349426,3.0646677017211914,0.06282965233374688
Baseline:p_median_p10,10,5,5,506466632.1347082,50646663.213470824,46556.06514241567,92.48523780155652,7073766.980339421,91.72102709860171,9.741717338562012,9.788225173950195,14.32077693939209,15.0,61.06608348221599,91.72102709860171,5,0,True,10.405122011901918,7.605195395678284,2.799926616223634,10.405122011901918,2.799926616223634,0.06485088616605261,9.441161550358329,7.93055610919632,7.605195395678284,10.405122011901918,8.475244880607033,2.496821403503418,0.05105476016588895
