cell_id,centroid_x,centroid_y,population_source,population,income,poi_count,poi_density,income_source,cluster,monthly_income_cny,vot_cny_per_h,p_evtol,trip_rate,demand
592,406227.3738420745,3381981.7927185036,zonal_sum,2604.888334274292,1.8870696490323797,2,8.0,poi_economic_index,0,2799.0,8.04,0.05974,0.005974,15.56160290895462
593,406227.3738420745,3382481.7927185036,zonal_sum,3809.8877716064453,2.833213344056216,2,8.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,23.937524869003298
594,406227.3738420745,3382981.7927185036,zonal_sum,3630.3849873542786,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,20.48263209865284
595,406227.3738420745,3383481.7927185036,zonal_sum,945.5659577846527,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,5.334883133821011
596,406227.3738420745,3383981.7927185036,zonal_sum,1383.116991519928,1.33500106673234,1,4.0,poi_economic_index,0,2799.0,8.04,0.05974,0.005974,8.26274090734005
597,406227.3738420745,3384481.7927185036,zonal_sum,2142.675380706787,2.9444389791664403,2,8.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,13.462429416980743
598,406227.3738420745,3384981.7927185036,zonal_sum,2220.392740249634,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,12.527455840488434
599,406227.3738420745,3385481.7927185036,zonal_sum,276.07633876800537,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,1.5576227033290864
600,406227.3738420745,3385981.7927185036,zonal_sum,431.2941134572029,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,2.433361388125539
601,406227.3738420745,3386481.7927185036,zonal_sum,1272.8557638972998,1.33500106673234,1,4.0,poi_economic_index,0,2799.0,8.04,0.05974,0.005974,7.604040333522469
602,406227.3738420745,3386981.7927185036,zonal_sum,1517.3359773159027,2.624668592163159,2,8.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,9.533421945475817
603,406227.3738420745,3387481.7927185036,zonal_sum,3175.3651542663574,3.3250360206965914,4,16.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,19.950819264255525
604,406227.3738420745,3387981.7927185036,zonal_sum,2086.5718746185303,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,11.772438516597749
605,406227.3738420745,3388481.7927185036,zonal_sum,4080.3017044067383,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,23.02106221626282
606,406227.3738420745,3388981.7927185036,zonal_sum,4978.169891357422,3.7232808808312687,8,32.0,poi_economic_index,2,4500.0,12.93,0.06638,0.006638,33.045091738830564
607,406227.3738420745,3389481.7927185036,zonal_sum,6602.572006225586,3.6109179126442243,8,32.0,poi_economic_index,2,4500.0,12.93,0.06638,0.006638,43.82787297732544
608,406227.3738420745,3389981.7927185036,zonal_sum,4816.8147048950195,2.760009940032921,5,20.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,30.26404679085541
609,406227.3738420745,3390481.7927185036,zonal_sum,6241.005233764648,2.879198457298039,6,24.0,poi_economic_index,2,4500.0,12.93,0.06638,0.006638,41.42779274172973
610,406227.3738420745,3390981.7927185036,zonal_sum,7107.770095825195,2.856470206220483,6,24.0,poi_economic_index,2,4500.0,12.93,0.06638,0.006638,47.181377896087646
611,406227.3738420745,3391481.7927185036,zonal_sum,8539.434299945831,2.0541237336955462,3,12.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,53.65326570655966
612,406227.3738420745,3391981.7927185036,zonal_sum,4390.127782821655,1.6094379124341003,1,4.0,poi_economic_index,0,2799.0,8.04,0.05974,0.005974,26.22662337457657
613,406227.3738420745,3392481.7927185036,zonal_sum,5784.591003417969,1.8870696490323797,2,8.0,poi_economic_index,0,2799.0,8.04,0.05974,0.005974,34.55714665441894
614,406227.3738420745,3392981.7927185036,zonal_sum,7838.962900161743,4.31748811353631,14,56.0,poi_economic_index,4,5605.0,16.11,0.07112,0.007112,55.75070414595032
615,406227.3738420745,3393481.7927185036,zonal_sum,6134.139869689941,2.5952547069568657,4,16.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,38.5408008012619
616,406227.3738420745,3393981.7927185036,zonal_sum,5363.581207275391,3.7977338590260183,9,36.0,poi_economic_index,2,4500.0,12.93,0.06638,0.006638,35.60345205389404
617,406227.3738420745,3394481.7927185036,zonal_sum,6255.17204284668,2.5952547069568657,4,16.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,39.30124594520569
618,406227.3738420745,3394981.7927185036,zonal_sum,6201.9388427734375,3.0633909220278057,4,16.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,38.96678174914551
619,406227.3738420745,3395481.7927185036,zonal_sum,8049.23518371582,3.380994674344636,5,20.0,poi_economic_index,2,4500.0,12.93,0.06638,0.006638,53.43082314950561
620,406227.3738420745,3395981.7927185036,zonal_sum,5273.319778442383,3.751854253275325,8,32.0,poi_economic_index,2,4500.0,12.93,0.06638,0.006638,35.00429668930054
621,406227.3738420745,3396481.7927185036,zonal_sum,4591.169139862061,2.2823823856765264,3,12.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,28.846315705753327
622,406227.3738420745,3396981.7927185036,zonal_sum,5739.412330627441,1.4350845252893227,1,4.0,poi_economic_index,0,2799.0,8.04,0.05974,0.005974,34.287249263168334
623,406227.3738420745,3397481.7927185036,zonal_sum,4374.015228271484,3.0819099697950434,7,28.0,poi_economic_index,2,4500.0,12.93,0.06638,0.006638,29.034713085266112
624,406227.3738420745,3397981.7927185036,zonal_sum,4761.190379142761,1.8870696490323797,2,8.0,poi_economic_index,0,2799.0,8.04,0.05974,0.005974,28.443351324998858
625,406227.3738420745,3398481.7927185036,zonal_sum,1667.8379311263561,2.468099531471619,3,12.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,10.479025721266897
626,406227.3738420745,3398981.7927185036,zonal_sum,2950.261062145233,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,16.645372912623408
627,406227.3738420745,3399481.7927185036,zonal_sum,3584.243766784668,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,20.222303332199097
628,406227.3738420745,3399981.7927185036,zonal_sum,3682.5794019699097,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,20.777112985914233
629,406227.3738420745,3400481.7927185036,zonal_sum,4194.343168258667,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,23.6644841553154
630,406227.3738420745,3400981.7927185036,zonal_sum,3443.654457092285,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,19.429098446914676
631,406227.3738420745,3401481.7927185036,zonal_sum,1727.3202389478683,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,9.745540788143874
632,406227.3738420745,3401981.7927185036,zonal_sum,487.63819536566734,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,2.751254698253095
633,406227.3738420745,3402481.7927185036,zonal_sum,398.26618364453316,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,2.247017808122456
634,406227.3738420745,3402981.7927185036,zonal_sum,1403.4158697128296,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,7.918072336919785
635,406727.3738420745,3368481.7927185036,zonal_sum,168.85320026427507,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,0.95266975589104
636,406727.3738420745,3368981.7927185036,zonal_sum,230.91081888973713,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,1.302798840175897
637,406727.3738420745,3369481.7927185036,zonal_sum,0.08562099933624268,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,0.0004830736782550812
638,406727.3738420745,3369981.7927185036,zonal_sum,73.37240612506866,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,0.4139671153576374
639,406727.3738420745,3370481.7927185036,zonal_sum,176.28548431396484,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,0.9946027024993898
640,406727.3738420745,3370981.7927185036,zonal_sum,176.43628764152527,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,0.9954535348734856
641,406727.3738420745,3371481.7927185036,zonal_sum,413.2140259742737,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,2.331353534546852
642,406727.3738420745,3371981.7927185036,zonal_sum,758.9984143972397,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,4.282269054029227
643,406727.3738420745,3372481.7927185036,zonal_sum,761.5595824867487,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,4.296719164390236
644,406727.3738420745,3372981.7927185036,zonal_sum,352.05914153158665,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,1.986317676521212
645,406727.3738420745,3373481.7927185036,zonal_sum,144.22435262054205,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,0.8137137974850983
646,406727.3738420745,3373981.7927185036,zonal_sum,1761.5483352020383,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,9.9386557072099
647,406727.3738420745,3374481.7927185036,zonal_sum,3334.094705581665,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,18.810962328891755
648,406727.3738420745,3374981.7927185036,zonal_sum,2082.2805976867676,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,11.748227132148743
649,406727.3738420745,3375481.7927185036,zonal_sum,765.7927732467651,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,4.3206028266582495
650,406727.3738420745,3375981.7927185036,zonal_sum,845.4215621650219,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,4.769868453735054
651,406727.3738420745,3376481.7927185036,zonal_sum,925.2899016141891,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,5.220485624907256
652,406727.3738420745,3376981.7927185036,zonal_sum,1632.288219988346,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,9.209370137174249
653,406727.3738420745,3377481.7927185036,zonal_sum,2236.8831310272217,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,12.620494625255585
654,406727.3738420745,3377981.7927185036,zonal_sum,1219.6338248252869,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,6.881174039664269
